goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkIndexBuildTime/BuildIndices_100-10                          	   28324	     42798 ns/op	   85169 B/op	    1074 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100-10                          	   24781	     47172 ns/op	   85169 B/op	    1074 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100-10                          	   25495	     44914 ns/op	   85169 B/op	    1074 allocs/op
BenchmarkIndexBuildTime/BuildIndices_1000-10                         	    2205	    558933 ns/op	 1179800 B/op	   10118 allocs/op
BenchmarkIndexBuildTime/BuildIndices_1000-10                         	    1986	    598081 ns/op	 1179800 B/op	   10118 allocs/op
BenchmarkIndexBuildTime/BuildIndices_1000-10                         	    2220	    546688 ns/op	 1179800 B/op	   10118 allocs/op
BenchmarkIndexBuildTime/BuildIndices_1000-10                         	    2174	    538796 ns/op	 1179800 B/op	   10118 allocs/op
BenchmarkIndexBuildTime/BuildIndices_1000-10                         	    2210	    546388 ns/op	 1179756 B/op	   10118 allocs/op
BenchmarkIndexBuildTime/BuildIndices_10000-10                        	     247	   4431106 ns/op	10348292 B/op	  100426 allocs/op
BenchmarkIndexBuildTime/BuildIndices_10000-10                        	     290	   4169606 ns/op	10348292 B/op	  100426 allocs/op
BenchmarkIndexBuildTime/BuildIndices_10000-10                        	     248	   4787050 ns/op	10348294 B/op	  100426 allocs/op
BenchmarkIndexBuildTime/BuildIndices_10000-10                        	     274	   4197799 ns/op	10348292 B/op	  100426 allocs/op
BenchmarkIndexBuildTime/BuildIndices_10000-10                        	     274	   4233196 ns/op	10348289 B/op	  100426 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100000-10                       	      19	  59989423 ns/op	90627341 B/op	 1002702 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100000-10                       	      20	  59459835 ns/op	90632737 B/op	 1002702 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100000-10                       	      20	  58519787 ns/op	90632734 B/op	 1002702 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100000-10                       	      21	  57790623 ns/op	90627353 B/op	 1002702 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100000-10                       	      20	  57848423 ns/op	90627344 B/op	 1002702 allocs/op
BenchmarkAttributeScan/Linear/1000-10                                	   13390	    106934 ns/op	  286736 B/op	    2016 allocs/op
BenchmarkAttributeScan/Linear/1000-10                                	   12543	     92210 ns/op	  286742 B/op	    2016 allocs/op
BenchmarkAttributeScan/Linear/1000-10                                	   12931	     93562 ns/op	  286739 B/op	    2016 allocs/op
BenchmarkAttributeScan/Linear/1000-10                                	   10000	    147309 ns/op	  286766 B/op	    2017 allocs/op
BenchmarkAttributeScan/Linear/1000-10                                	   11623	     99033 ns/op	  286749 B/op	    2016 allocs/op
BenchmarkAttributeScan/Indexed/1000-10                               	   12578	     93347 ns/op	  286741 B/op	    2016 allocs/op
